               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022939,            0.017712,           0.0037611,             0.88809,             0.85007,             0.87994,             0.60669,            0.026993,             0.01659,           0.0059354,               0.082,               0.002,               0.002
                   1,            0.027165,            0.020906,           0.0036352,             0.88548,             0.84342,             0.87354,             0.59003,            0.030396,            0.016708,           0.0058594,            0.063086,           0.0040865,           0.0040865
                   2,            0.030181,            0.019691,           0.0034137,             0.82546,             0.82719,             0.84858,             0.50953,            0.034722,            0.017103,            0.005803,            0.044159,           0.0061591,           0.0061591
                   3,            0.034454,            0.022053,           0.0041075,             0.85245,             0.85064,             0.87212,              0.5104,            0.034758,            0.017637,           0.0063254,            0.025218,           0.0082178,           0.0082178
                   4,            0.036352,            0.022417,           0.0047382,             0.84424,             0.86186,             0.86817,              0.4839,            0.037589,            0.016966,            0.006656,            0.009868,            0.009868,            0.009868
                   5,            0.037009,            0.022361,            0.005551,             0.90421,             0.83977,             0.88648,             0.49597,            0.035918,            0.017166,           0.0070586,            0.009868,            0.009868,            0.009868
                   6,            0.035662,             0.02159,           0.0056286,             0.86509,             0.81609,             0.85278,             0.49856,            0.037348,            0.017384,           0.0068693,            0.009835,            0.009835,            0.009835
                   7,             0.03598,            0.023856,           0.0055515,             0.87067,             0.83197,             0.87701,             0.53074,            0.034579,            0.017316,           0.0071637,            0.009802,            0.009802,            0.009802
                   8,            0.036414,            0.022177,           0.0058855,             0.88243,             0.81538,             0.86733,             0.49912,            0.036654,            0.017125,           0.0070569,            0.009769,            0.009769,            0.009769
                   9,            0.035598,            0.020714,           0.0054993,             0.87088,               0.826,             0.85291,             0.50576,            0.036889,             0.01766,           0.0071804,            0.009736,            0.009736,            0.009736
                  10,             0.03408,             0.02375,            0.005574,             0.83075,             0.81862,              0.8595,             0.48835,            0.035743,            0.017262,           0.0073697,            0.009703,            0.009703,            0.009703
                  11,            0.034967,            0.022927,           0.0059395,             0.85137,              0.8279,             0.85113,             0.51759,            0.034832,            0.018258,           0.0073466,             0.00967,             0.00967,             0.00967
                  12,            0.035445,            0.023158,           0.0056141,             0.87046,             0.79839,             0.85082,             0.50344,            0.035885,            0.017146,           0.0073286,            0.009637,            0.009637,            0.009637
                  13,            0.035301,            0.021019,           0.0058685,             0.87912,             0.81523,             0.86668,             0.54201,            0.033401,            0.017309,           0.0070973,            0.009604,            0.009604,            0.009604
                  14,             0.03384,            0.022778,           0.0056942,             0.84695,             0.82119,              0.8452,             0.51105,            0.036139,            0.017609,           0.0072939,            0.009571,            0.009571,            0.009571
                  15,            0.035281,            0.021596,           0.0058753,              0.8509,             0.81789,             0.86605,             0.52272,            0.033186,            0.018479,           0.0067902,            0.009538,            0.009538,            0.009538
